endnote,services.myendnoteweb.com,/enwservices/api/v1/rest,"/api/endnote/v1",null,true,acl||cors||custom-key-headers||oauth2,null
cmc-gui,clarivate.com,/,"/cmc",null,true,eureka-router,cmcgui.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
links-entitlement-api,clarivate.com,/,"/api/links/entitlements",null,false,eureka-router||ip-restriction||url-replace,1plinksentitlements.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
links-api,clarivate.com,/,"/api/links",null,false,eureka-router||ip-restriction||url-replace,woslinks.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
kongstatus,localhost,/,"/status",null,false,acl||key-auth||rate-limiting,null
wosld-frontend-api,clarivate.com,/,"/wosdashboard",null,true,eureka-router,wosldui.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
iip-edge-api,clarivate.com,/,"/api/iip/.*",null,false,eureka-router||session-validation||url-replace,iipedge.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wpp-data-service-api,clarivate.com,/,"/api/wpp/.*",null,false,cors||eureka-router||jwt||url-replace,publisherportaldataservice.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-export-search-api-us,clarivate.com,/,"/api/cortellis/export","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisexportsearchapi.cortellis.produs.{CLOUD_ENVIRONMENT}
igr-type-ahead-api,clarivate.com,/,"/apiv2/igr/suggest",null,false,eureka-router||jwt||url-replace,igrtypeahead.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-drug-api,clarivate.com,/,"/cortellisdrugdbretrieveapi",null,false,eureka-router,cortellisdrugdbretrieveapi.cortellis.{CLOUD_ENVIRONMENT}
mra-restricted-api,clarivate.com,/,"/api/mra",null,true,eureka-router||jwt,mraservice.scholarone.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-dealsanalytics-app-us,clarivate.com,/,"/cortellis/dealsanalytics","api.us-west-2.prod1.prod.oneplatform.build",true,eureka-router,cortellisdealsanalyticsapp.cortellis.produs.prod
cortellis-export-search-api-eu,clarivate.com,/,"/api/cortellis/export","api.eu-west-1.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisexportsearchapi.cortellis.prodeu.{CLOUD_ENVIRONMENT}
pubmatch,clarivate.com,/,"/api/pubmatch",null,true,acl||eureka-router||key-auth,matchingservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
citation-resolution-service,clarivate.com,/,"/api/crs",null,true,acl||correlation-id||cors||eureka-router||key-auth,citationresolutionservice.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
cortellis-download-api-us,clarivate.com,/,"/api/cortellis/download","api.us-west-2.prod1.prod.oneplatform.build",false,eureka-router||jwt||url-replace,cortellisdownloadapi.cortellis.produs.{CLOUD_ENVIRONMENT}
cmc-api,clarivate.com,/,"/api/cmc/services",null,false,eureka-router||jwt,cmcapi.{CLOUD_STACK}.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
wos-alerting-ui,clarivate.com,/,"/alerts",null,true,eureka-router,wosalertingui.wos.{CLOUD_DEV_PHASE}.{CLOUD_ENVIRONMENT}
